Strain	0	1	2	3	4	5
USA/CO-CDPHE-2003110459/2020	7	6	2	2	2	2
USA/CO-CDPHE-2003120079/2020	7	6	2	2	2	2
USA/CO-CDPHE-2003120912/2020	24	8	2	2	2	2
USA/CO-CDPHE-2003120922/2020	34	27	20	18	8	1
USA/CO-CDPHE-2003130078/2020	24	8	2	2	2	2
USA/CO-CDPHE-2003130222/2020	7	6	2	2	2	2
USA/CO-QDX-107/2020	7	6	2	2	2	2
USA/CO-QDX-1932/2020	7	6	2	2	2	2
USA/CO-QDX-89/2020	7	6	2	2	2	2
USA/CT-QDX-1183/2020	7	6	2	2	2	2
USA/CT-QDX-1735/2020	7	6	2	2	2	2
USA/CT-QDX-2094/2020	11	10	7	7	6	1
USA/CT-QDX-2200/2020	35	28	21	19	2	2
USA/CT-QDX-2239/2020	7	6	2	2	2	2
USA/CT-QDX-2279/2020	7	6	2	2	2	2
USA/CT-QDX-2579/2020	36	29	22	8	2	2
USA/CT-QDX-2666/2020	7	6	2	2	2	2
USA/CT-UW-1365/2020	52	42	34	28	2	2
USA/CT-UW-645/2020	36	29	22	8	2	2
USA/CT-UW-647/2020	36	29	22	8	2	2
USA/CT-UW-649/2020	36	29	22	8	2	2
USA/CT-UW-650/2020	36	29	22	8	2	2
USA/CT-UW-651/2020	36	29	22	8	2	2
USA/CT-UW-652/2020	35	28	21	19	2	2
USA/CT-UW-653/2020	36	29	22	8	2	2
USA/CT-UW-673/2020	36	29	22	8	2	2
USA/CT-UW-685/2020	36	29	22	8	2	2
USA/CT-UW158/2020	1	1	1	1	1	1
USA/CT-UW159/2020	36	29	22	8	2	2
USA/CT-UW213/2020	36	29	22	8	2	2
USA/CT-UW223/2020	24	8	2	2	2	2
USA/CT-UW224/2020	7	6	2	2	2	2
USA/CT-UW238/2020	24	8	2	2	2	2
USA/CT-UW250/2020	9	8	2	2	2	2
USA/CT-UW254/2020	7	6	2	2	2	2
USA/CT-UW256/2020	7	6	2	2	2	2
USA/CT-UW258/2020	21	16	9	8	2	2
USA/CT-UW259/2020	7	6	2	2	2	2
USA/CT-UW260/2020	34	27	20	18	8	1
USA/CT-UW271/2020	36	29	22	8	2	2
USA/CT-UW272/2020	7	6	2	2	2	2
USA/CT-UW273/2020	7	6	2	2	2	2
USA/CT-UW303/2020	1	1	1	1	1	1
USA/CT-UW327/2020	27	20	13	12	2	2
USA/CT-UW328/2020	53	43	35	29	2	2
USA/CT-UW329/2020	24	8	2	2	2	2
USA/CT-UW331/2020	24	8	2	2	2	2
USA/CT-Yale-001/2020	5	3	3	3	3	2
USA/CT-Yale-002/2020	11	10	7	7	6	1
USA/CT-Yale-003/2020	11	10	7	7	6	1
USA/CT-Yale-005/2020	11	10	7	7	6	1
USA/CT-Yale-006/2020	54	44	36	30	2	2
USA/CT-Yale-007/2020	11	10	7	7	6	1
USA/CT-Yale-008/2020	11	10	7	7	6	1
USA/CT-Yale-009/2020	11	10	7	7	6	1
USA/CT-Yale-010/2020	11	10	7	7	6	1
USA/CT-Yale-011/2020	7	6	2	2	2	2
USA/CT-Yale-034/2020	11	10	7	7	6	1
USA/CT-Yale-040/2020	54	44	36	30	2	2
USA/CT-Yale-079/2020	54	44	36	30	2	2
USA/CT-Yale-151/2020	7	6	2	2	2	2
USA/CT_9849/2020	11	10	7	7	6	1
USA/CruiseA-1/2020	5	3	3	3	3	2
USA/CruiseA-10/2020	5	3	3	3	3	2
USA/CruiseA-11/2020	5	3	3	3	3	2
USA/CruiseA-12/2020	55	45	37	31	12	2
USA/CruiseA-13/2020	5	3	3	3	3	2
USA/CruiseA-14/2020	5	3	3	3	3	2
USA/CruiseA-15/2020	5	3	3	3	3	2
USA/CruiseA-16/2020	5	3	3	3	3	2
USA/CruiseA-17/2020	5	3	3	3	3	2
USA/CruiseA-18/2020	5	3	3	3	3	2
USA/CruiseA-19/2020	5	3	3	3	3	2
USA/CruiseA-2/2020	5	3	3	3	3	2
USA/CruiseA-21/2020	5	3	3	3	3	2
USA/CruiseA-22/2020	5	3	3	3	3	2
USA/CruiseA-23/2020	5	3	3	3	3	2
USA/CruiseA-24/2020	5	3	3	3	3	2
USA/CruiseA-25/2020	5	3	3	3	3	2
USA/CruiseA-26/2020	5	3	3	3	3	2
USA/CruiseA-3/2020	5	3	3	3	3	2
USA/CruiseA-4/2020	55	45	37	31	12	2
USA/CruiseA-5/2020	5	3	3	3	3	2
USA/CruiseA-6/2020	5	3	3	3	3	2
USA/CruiseA-7/2020	5	3	3	3	3	2
USA/CruiseA-8/2020	5	3	3	3	3	2
USA/CruiseA-9/2020	5	3	3	3	3	2
USA/DC-CDC-0019/2020	9	8	2	2	2	2
USA/DC-DFS-PHL-0001/2020	11	10	7	7	6	1
USA/DC-DFS-PHL-0003/2020	24	8	2	2	2	2
USA/DC-DFS-PHL-0007/2020	7	6	2	2	2	2
USA/DC-DFS-PHL-0008/2020	7	6	2	2	2	2
USA/DC-DFS-PHL-0009/2020	50	41	33	27	11	2
USA/DC-HP00006/2020	24	8	2	2	2	2
USA/DC-HP00007/2020	7	6	2	2	2	2
USA/DC-HP00026/2020	24	8	2	2	2	2
USA/DC-HP00052/2020	56	46	38	8	2	2
USA/DC-HP00054/2020	7	6	2	2	2	2
USA/DC-HP00063/2020	30	23	16	14	7	2
USA/DC-HP00072/2020	38	31	24	21	9	2
USA/DC-HP00100/2020	7	6	2	2	2	2
USA/DC_0004/2020	11	10	7	7	6	1
USA/DE-DHSS-F918736/2020	24	8	2	2	2	2
USA/DE-DHSS-F918749/2020	24	8	2	2	2	2
USA/DE-DHSS-F918750/2020	24	8	2	2	2	2
USA/DE-DHSS-F918807/2020	24	8	2	2	2	2
USA/DE-DHSS-F918831/2020	24	8	2	2	2	2
USA/FL-BPHL-0139/2020	31	24	17	15	2	2
USA/FL-BPHL-0140/2020	24	8	2	2	2	2
USA/FL-BPHL-0141/2020	34	27	20	18	8	1
USA/FL-BPHL-0142/2020	34	27	20	18	8	1
USA/FL-BPHL-0143/2020	7	6	2	2	2	2
USA/FL-BPHL-0144/2020	11	10	7	7	6	1
USA/FL-BPHL-0145/2020	11	10	7	7	6	1
USA/FL-BPHL-0146/2020	11	10	7	7	6	1
USA/FL-BPHL-0147/2020	24	8	2	2	2	2
USA/FL-BPHL-0148/2020	9	8	2	2	2	2
USA/FL-BPHL-0149/2020	9	8	2	2	2	2
USA/FL-BPHL-0391/2020	11	10	7	7	6	1
USA/FL-BPHL-0394/2020	9	8	2	2	2	2
USA/FL-BPHL-0395/2020	24	8	2	2	2	2
USA/FL-BPHL-0397/2020	57	47	39	32	2	2
USA/FL-BPHL-0398/2020	24	8	2	2	2	2
USA/FL-BPHL-0537/2020	11	10	7	7	6	1
USA/FL-BPHL-0538/2020	11	10	7	7	6	1
USA/FL-BPHL-0539/2020	24	8	2	2	2	2
USA/FL-BPHL-0560/2020	9	8	2	2	2	2
USA/FL-BPHL-0561/2020	7	6	2	2	2	2
USA/FL-BPHL-0562/2020	36	29	22	8	2	2
USA/FL-BPHL-0563/2020	36	29	22	8	2	2
USA/FL-BPHL-0564/2020	36	29	22	8	2	2
USA/FL-BPHL-0565/2020	11	10	7	7	6	1
USA/FL-BPHL-0567/2020	7	6	2	2	2	2
USA/FL-BPHL-0568/2020	11	10	7	7	6	1
USA/FL-BPHL-0569/2020	24	8	2	2	2	2
USA/FL-BPHL-0570/2020	7	6	2	2	2	2
USA/FL-BPHL-0571/2020	11	10	7	7	6	1
USA/FL-BPHL-0658/2020	11	10	7	7	6	1
USA/FL-BPHL-0659/2020	7	6	2	2	2	2
USA/FL-BPHL-0660/2020	11	10	7	7	6	1
USA/FL-BPHL-0661/2020	7	6	2	2	2	2
USA/FL-BPHL-0662/2020	11	10	7	7	6	1
USA/FL-BPHL-0663/2020	7	6	2	2	2	2
USA/FL-BPHL-0664/2020	7	6	2	2	2	2
USA/FL-BPHL-0665/2020	11	10	7	7	6	1
USA/FL-BPHL-0666/2020	58	48	40	33	2	2
USA/FL-BPHL-0667/2020	58	48	40	33	2	2
USA/FL-BPHL-0668/2020	59	49	41	8	2	2
USA/FL-BPHL-0669/2020	31	24	17	15	2	2
USA/FL-BPHL-0670/2020	7	6	2	2	2	2
USA/FL-BPHL-0675/2020	21	16	9	8	2	2
USA/FL-BPHL-0793/2020	7	6	2	2	2	2
USA/FL-BPHL-0794/2020	24	8	2	2	2	2
USA/FL-BPHL-0981/2020	9	8	2	2	2	2
USA/FL-BPHL-0982/2020	9	8	2	2	2	2
USA/FL-BPHL-1071/2020	24	8	2	2	2	2
USA/FL-BPHL-1092/2020	24	8	2	2	2	2
USA/FL-BPHL-1093/2020	9	8	2	2	2	2
USA/FL-BPHL-1094/2020	24	8	2	2	2	2
USA/FL-BPHL-2024/2020	11	10	7	7	6	1
USA/FL-BPHL-2025/2020	11	10	7	7	6	1
USA/FL-BPHL-2026/2020	34	27	20	18	8	1
USA/FL-BPHL-2100/2020	34	27	20	18	8	1
USA/FL-BPHL-2101/2020	11	10	7	7	6	1
USA/FL-BPHL-2102/2020	11	10	7	7	6	1
USA/FL-BPHL-2103/2020	13	3	3	3	3	2
USA/FL-BPHL-2104/2020	13	3	3	3	3	2
USA/FL-BPHL-2105/2020	11	10	7	7	6	1
USA/FL-BPHL-2106/2020	11	10	7	7	6	1
USA/FL-BPHL-2107/2020	11	10	7	7	6	1
USA/FL-BPHL-2108/2020	11	10	7	7	6	1
USA/FL-BPHL-2109/2020	36	29	22	8	2	2
USA/FL-BPHL-2110/2020	36	29	22	8	2	2
USA/FL-BPHL-2111/2020	9	8	2	2	2	2
USA/FL-BPHL-2112/2020	60	50	42	34	2	2
USA/FL-BPHL-2113/2020	60	50	42	34	2	2
USA/FL-BPHL-2114/2020	60	50	42	34	2	2
USA/FL-BPHL-2115/2020	11	10	7	7	6	1
USA/FL-BPHL-2116/2020	11	10	7	7	6	1
USA/FL-BPHL-2117/2020	34	27	20	18	8	1
USA/FL-BPHL-2118/2020	7	6	2	2	2	2
USA/FL-BPHL-2119/2020	7	6	2	2	2	2
USA/FL-BPHL-2120/2020	9	8	2	2	2	2
USA/FL-BPHL-2121/2020	61	51	43	35	13	2
USA/FL-BPHL-2122/2020	60	50	42	34	2	2
USA/FL-BPHL-2123/2020	21	16	9	8	2	2
USA/FL-CDC-2316/2020	24	8	2	2	2	2
USA/FL-CDC-2718/2020	62	27	20	18	8	1
USA/FL-CDC-6318/2020	21	16	9	8	2	2
USA/FL-CDC-7619/2020	24	8	2	2	2	2
USA/FL-CDC-KCDN-3707/2020	24	8	2	2	2	2
USA/FL-CDC-KCDZ-3709/2020	24	8	2	2	2	2
USA/FL-QDX-121/2020	7	6	2	2	2	2
USA/FL-QDX-2177/2020	7	6	2	2	2	2
USA/FL-QDX-2563/2020	7	6	2	2	2	2
USA/FL-QDX-2564/2020	7	6	2	2	2	2
USA/FL-QDX-2577/2020	7	6	2	2	2	2
USA/FL-QDX-2588/2020	57	47	39	32	2	2
USA/FL-QDX-2590/2020	7	6	2	2	2	2
USA/FL-QDX-2617/2020	7	6	2	2	2	2
USA/FL-QDX-2618/2020	7	6	2	2	2	2
USA/FL-QDX-2648/2020	9	8	2	2	2	2
USA/FL-QDX-2659/2020	7	6	2	2	2	2
USA/FL-QDX-2670/2020	7	6	2	2	2	2
USA/FL-UF1/2020	11	10	7	7	6	1
USA/FL-UFL-UF1/2020	11	10	7	7	6	1
USA/FL_1177/2020	31	24	17	15	2	2
USA/FL_5091/2020	11	10	7	7	6	1
USA/FL_5125/2020	21	16	9	8	2	2
USA/FL_6318/2020	36	29	22	8	2	2
USA/FL_7169/2020	31	24	17	15	2	2
USA/FL_9590/2020	13	3	3	3	3	2
USA/FL_9655/2020	34	27	20	18	8	1
USA/FL_9656/2020	11	10	7	7	6	1
USA/GA-CDC-2059/2020	62	27	20	18	8	1
USA/GA-CDC-8427/2020	34	27	20	18	8	1
USA/GA-EHC-009I/2020	34	27	20	18	8	1
USA/GA-EHC-023W/2020	34	27	20	18	8	1
USA/GA-EHC-031E/2020	11	10	7	7	6	1
USA/GA-EHC-034H/2020	44	37	29	24	2	2
USA/GA-EHC-036J/2020	36	29	22	8	2	2
USA/GA-EHC-038L/2020	34	27	20	18	8	1
USA/GA-EHC-042P/2020	34	27	20	18	8	1
USA/GA-EHC-043Q/2020	34	27	20	18	8	1
USA/GA-EHC-044R/2020	34	27	20	18	8	1
USA/GA-EHC-055C/2020	7	6	2	2	2	2
USA/GA-EHC-060H/2020	34	27	20	18	8	1
USA/GA-EHC-064L/2020	28	21	14	8	2	2
USA/GA-EHC-069Q/2020	36	29	22	8	2	2
USA/GA-EHC-083E/2020	24	8	2	2	2	2
USA/GA-EHC-086H/2020	34	27	20	18	8	1
USA/GA-EHC-087I/2020	34	27	20	18	8	1
USA/GA-EHC-097S/2020	34	27	20	18	8	1
USA/GA-QDX-115/2020	34	27	20	18	8	1
USA/GA-QDX-116/2020	34	27	20	18	8	1
USA/GA-QDX-122/2020	34	27	20	18	8	1
USA/GA-QDX-152/2020	34	27	20	18	8	1
USA/GA-QDX-1938/2020	34	27	20	18	8	1
USA/GA-QDX-2115/2020	34	27	20	18	8	1
USA/GA-QDX-2150/2020	34	27	20	18	8	1
USA/GA-QDX-2158/2020	34	27	20	18	8	1
USA/GA-QDX-2196/2020	34	27	20	18	8	1
USA/GA-QDX-2209/2020	26	19	12	11	2	2
USA/GA-QDX-2218/2020	34	27	20	18	8	1
USA/GA-QDX-2219/2020	34	27	20	18	8	1
USA/GA-QDX-2235/2020	11	10	7	7	6	1
USA/GA-QDX-2259/2020	34	27	20	18	8	1
USA/GA-QDX-2442/2020	34	27	20	18	8	1
USA/GA-QDX-2443/2020	34	27	20	18	8	1
USA/GA-QDX-2461/2020	34	27	20	18	8	1
USA/GA-QDX-2511/2020	11	10	7	7	6	1
USA/GA-QDX-2553/2020	34	27	20	18	8	1
USA/GA-QDX-2558/2020	36	29	22	8	2	2
USA/GA-QDX-2571/2020	34	27	20	18	8	1
USA/GA-QDX-53/2020	34	27	20	18	8	1
USA/GA_1299/2020	36	29	22	8	2	2
USA/GA_1320/2020	34	27	20	18	8	1
USA/GA_1445/2020	34	27	20	18	8	1
USA/GA_1621/2020	28	21	14	8	2	2
USA/GA_1847/2020	34	27	20	18	8	1
USA/GA_2055/2020	34	27	20	18	8	1
USA/GA_2070/2020	34	27	20	18	8	1
USA/GA_2118/2020	34	27	20	18	8	1
USA/GA_2120/2020	34	27	20	18	8	1
USA/GA_2147/2020	30	23	16	14	7	2
USA/GA_2185/2020	11	10	7	7	6	1
USA/GA_2275/2020	24	8	2	2	2	2
USA/GA_2343/2020	34	27	20	18	8	1
USA/GA_2741/2020	41	34	26	8	2	2
USA/GA_2742/2020	41	34	26	8	2	2
USA/HI-H200005/2020	24	8	2	2	2	2
USA/HI-H200007/2020	30	23	16	14	7	2
USA/HI-H200011/2020	11	10	7	7	6	1
USA/HI-QDX-163/2020	7	6	2	2	2	2
USA/HI-QDX-164/2020	7	6	2	2	2	2
USA/HI-QDX-2149/2020	7	6	2	2	2	2
USA/HI_4970/2020	9	8	2	2	2	2
USA/HI_7881/2020	11	10	7	7	6	1
USA/IA-CDC-4042/2020	9	8	2	2	2	2
USA/IA-CDC-4043/2020	9	8	2	2	2	2
USA/IA-CDC-4046/2020	9	8	2	2	2	2
USA/IA-CDC-4047/2020	9	8	2	2	2	2
USA/IA-CDC-4048/2020	9	8	2	2	2	2
USA/IA-CDC-4049/2020	9	8	2	2	2	2
USA/IA-CDC-4050/2020	9	8	2	2	2	2
USA/IA-CDC-4051/2020	9	8	2	2	2	2
USA/IA-CDC-4052/2020	9	8	2	2	2	2
USA/IA-CDC-4053/2020	9	8	2	2	2	2
USA/IA-CDC-4054/2020	9	8	2	2	2	2
USA/IA-CDC-4055/2020	9	8	2	2	2	2
USA/IA-CDC-8200/2020	9	8	2	2	2	2
USA/IA_6390/2020	9	8	2	2	2	2
USA/IA_6391/2020	9	8	2	2	2	2
USA/IA_6394/2020	9	8	2	2	2	2
USA/IA_6395/2020	9	8	2	2	2	2
USA/IA_6396/2020	9	8	2	2	2	2
USA/IA_6399/2020	9	8	2	2	2	2
USA/IA_6401/2020	9	8	2	2	2	2
USA/ID-UNM-IBL021/2020	7	6	2	2	2	2
USA/ID-UNM-IBL022/2020	5	3	3	3	3	2
USA/ID-UNM-IBL023/2020	5	3	3	3	3	2
USA/ID-UNM-IBL025/2020	5	3	3	3	3	2
USA/ID-UNM-IBL026/2020	5	3	3	3	3	2
USA/ID-UNM-IBL028/2020	7	6	2	2	2	2
USA/ID-UNM-IBL030/2020	7	6	2	2	2	2
USA/ID-UNM-IBL032/2020	7	6	2	2	2	2
USA/ID-UNM-IBL033/2020	7	6	2	2	2	2
USA/IL-CDC-1732/2020	51	10	7	7	6	1
USA/IL-IDPH-I-000008/2020	63	52	44	36	2	2
USA/IL-IDPH-I-000013/2020	34	27	20	18	8	1
USA/IL-IDPH-I-000497/2020	34	27	20	18	8	1
USA/IL-NM-0039/2020	24	8	2	2	2	2
USA/IL-NM-0052/2020	34	27	20	18	8	1
USA/IL-NM014/2020	9	8	2	2	2	2
USA/IL-NM016/2020	11	10	7	7	6	1
USA/IL-NM017/2020	24	8	2	2	2	2
USA/IL-NM019/2020	9	8	2	2	2	2
USA/IL-NM021/2020	7	6	2	2	2	2
USA/IL-NM022/2020	11	10	7	7	6	1
USA/IL-NM023/2020	7	6	2	2	2	2
USA/IL-NM024/2020	24	8	2	2	2	2
USA/IL-NM025/2020	64	53	45	37	2	2
USA/IL-NM043/2020	34	27	20	18	8	1
USA/IL-NM045/2020	7	6	2	2	2	2
USA/IL-NM047/2020	7	6	2	2	2	2
USA/IL-NM049/2020	65	54	46	38	2	2
USA/IL-NM050/2020	7	6	2	2	2	2
USA/IL-NM051/2020	7	6	2	2	2	2
USA/IL-NM053/2020	34	27	20	18	8	1
USA/IL-NM054/2020	66	55	47	39	2	2
USA/IL-NM055/2020	11	10	7	7	6	1
USA/IL-NM097/2020	62	27	20	18	8	1
USA/IL-QDX-2568/2020	67	56	48	40	2	2
USA/IL-QDX-2622/2020	21	16	9	8	2	2
USA/IL-QDX-831/2020	67	56	48	40	2	2
USA/IL-QDX-832/2020	21	16	9	8	2	2
USA/IL-UW-1265/2020	11	10	7	7	6	1
USA/IL-UW-1311/2020	11	10	7	7	6	1
USA/IL-UW348/2020	23	17	10	9	2	2
USA/IL-UW349/2020	50	41	33	27	11	2
USA/IL-UW350/2020	11	10	7	7	6	1
USA/IL-UW351/2020	7	6	2	2	2	2
USA/IL-UW352/2020	7	6	2	2	2	2
USA/IL-UW353/2020	24	8	2	2	2	2
USA/IL-UW381/2020	11	10	7	7	6	1
USA/IL1/2020	4	4	1	1	1	1
USA/IL2/2020	34	27	20	18	8	1
USA/IL_0087/2020	63	52	44	36	2	2
USA/IL_0089/2020	11	10	7	7	6	1
USA/IL_1293/2020	3	3	3	3	3	2
USA/IL_1375/2020	3	3	3	3	3	2
USA/IN-CDC-2005/2020	24	8	2	2	2	2
USA/IN-CDC-2006/2020	24	8	2	2	2	2
USA/IN-CDC-2013/2020	62	27	20	18	8	1
USA/IN-Lilly-IPB0173-01bc15/2020	9	8	2	2	2	2
USA/IN-Lilly-IPB0173-01bc20/2020	9	8	2	2	2	2
USA/IN-Lilly-IPB0173-01bc23/2020	9	8	2	2	2	2
USA/IN-Lilly-IPB0173-01bc30/2020	11	10	7	7	6	1
USA/IN-QDX-1973/2020	9	8	2	2	2	2
USA/IN-QDX-2220/2020	9	8	2	2	2	2
USA/IN-QDX-2283/2020	24	8	2	2	2	2
USA/IN-QDX-2605/2020	24	8	2	2	2	2
USA/IN-QDX-2619/2020	9	8	2	2	2	2
USA/IN-QDX-85/2020	9	8	2	2	2	2
USA/IN_2001/2020	9	8	2	2	2	2
USA/IN_72003/2020	24	8	2	2	2	2
USA/IN_82003/2020	24	8	2	2	2	2
USA/IN_92003/2020	24	8	2	2	2	2
USA/KS-CDC-4589/2020	9	8	2	2	2	2
USA/KS-KHEL-0001/2020	24	8	2	2	2	2
USA/KS-KHEL-0002/2020	9	8	2	2	2	2
USA/KS-KHEL-0003/2020	9	8	2	2	2	2
USA/KS-KHEL-0004/2020	9	8	2	2	2	2
USA/KS-KHEL-0005/2020	11	10	7	7	6	1
USA/KS_4126/2020	24	8	2	2	2	2
USA/LA-CDC-0499/2020	7	6	2	2	2	2
USA/LA-CDC-0757/2020	7	6	2	2	2	2
USA/LA-QDX-1241/2020	65	54	46	38	2	2
USA/LA-QDX-1918/2020	65	54	46	38	2	2
USA/LA-QDX-2100/2020	7	6	2	2	2	2
USA/LA-QDX-2108/2020	34	27	20	18	8	1
USA/LA-QDX-836/2020	7	6	2	2	2	2
USA/LA-QDX-879/2020	34	27	20	18	8	1
USA/LA_0842/2020	65	54	46	38	2	2
USA/MA-MASPHL-00002/2020	13	3	3	3	3	2
USA/MA-MASPHL-00003/2020	13	3	3	3	3	2
USA/MA-MASPHL-00009/2020	11	10	7	7	6	1
USA/MA-MASPHL-00010/2020	9	8	2	2	2	2
USA/MA-MASPHL-00011/2020	11	10	7	7	6	1
USA/MA-MGH-00003/2020	24	8	2	2	2	2
USA/MA-MGH-00004/2020	34	27	20	18	8	1
USA/MA-MGH-00005/2020	24	8	2	2	2	2
USA/MA-MGH-00006/2020	7	6	2	2	2	2
USA/MA-MGH-00415/2020	24	8	2	2	2	2
USA/MA-MGH-00416/2020	24	8	2	2	2	2
USA/MA-MGH-00417/2020	24	8	2	2	2	2
USA/MA-MGH-00418/2020	24	8	2	2	2	2
USA/MA-MGH-00419/2020	24	8	2	2	2	2
USA/MA-MGH-00420/2020	24	8	2	2	2	2
USA/MA-MGH-00421/2020	24	8	2	2	2	2
USA/MA-MGH-00422/2020	24	8	2	2	2	2
USA/MA-MGH-00423/2020	9	8	2	2	2	2
USA/MA-MGH-00424/2020	24	8	2	2	2	2
USA/MA-MGH-00425/2020	24	8	2	2	2	2
USA/MA-MGH-00426/2020	24	8	2	2	2	2
USA/MA-MGH-00427/2020	24	8	2	2	2	2
USA/MA-MGH-00428/2020	24	8	2	2	2	2
USA/MA-MGH-00430/2020	24	8	2	2	2	2
USA/MA-MGH-00431/2020	24	8	2	2	2	2
USA/MA-MGH-00432/2020	24	8	2	2	2	2
USA/MA-MGH-00433/2020	9	8	2	2	2	2
USA/MA-MGH-00434/2020	24	8	2	2	2	2
USA/MA-MGH-00435/2020	24	8	2	2	2	2
USA/MA-MGH-00437/2020	24	8	2	2	2	2
USA/MA-MGH-00438/2020	24	8	2	2	2	2
USA/MA-MGH-00439/2020	24	8	2	2	2	2
USA/MA-MGH-00440/2020	24	8	2	2	2	2
USA/MA-MGH-00441/2020	24	8	2	2	2	2
USA/MA-MGH-00442/2020	24	8	2	2	2	2
USA/MA-MGH-00443/2020	24	8	2	2	2	2
USA/MA-MGH-00444/2020	24	8	2	2	2	2
USA/MA-MGH-00510/2020	24	8	2	2	2	2
USA/MA-MGH-00514/2020	24	8	2	2	2	2
USA/MA-MGH-00516/2020	24	8	2	2	2	2
USA/MA-MGH-00517/2020	11	10	7	7	6	1
USA/MA-QDX-114/2020	11	10	7	7	6	1
USA/MA-QDX-127/2020	24	8	2	2	2	2
USA/MA-QDX-135/2020	9	8	2	2	2	2
USA/MA-QDX-145/2020	24	8	2	2	2	2
USA/MA-QDX-1457/2020	24	8	2	2	2	2
USA/MA-QDX-1458/2020	24	8	2	2	2	2
USA/MA-QDX-149/2020	24	8	2	2	2	2
USA/MA-QDX-150/2020	34	27	20	18	8	1
USA/MA-QDX-2106/2020	7	6	2	2	2	2
USA/MA-QDX-2427/2020	9	8	2	2	2	2
USA/MA-QDX-31/2020	7	6	2	2	2	2
USA/MA-QDX-32/2020	24	8	2	2	2	2
USA/MA-QDX-41/2020	24	8	2	2	2	2
USA/MA-QDX-47/2020	24	8	2	2	2	2
USA/MA-QDX-54/2020	7	6	2	2	2	2
USA/MA-QDX-59/2020	24	8	2	2	2	2
USA/MA-QDX-61/2020	34	27	20	18	8	1
USA/MA-QDX-64/2020	9	8	2	2	2	2
USA/MA-QDX-68/2020	9	8	2	2	2	2
USA/MA-QDX-69/2020	9	8	2	2	2	2
USA/MA-QDX-80/2020	36	29	22	8	2	2
USA/MA1/2020	3	3	3	3	3	2
USA/MA_0020/2020	24	8	2	2	2	2
USA/MA_1355/2020	5	3	3	3	3	2
USA/MA_2652/2020	24	8	2	2	2	2
USA/MA_3614/2020	24	8	2	2	2	2
USA/MA_3616/2020	24	8	2	2	2	2
USA/MA_3623/2020	24	8	2	2	2	2
USA/MA_3626/2020	24	8	2	2	2	2
USA/MA_3642/2020	24	8	2	2	2	2
USA/MA_3653/2020	19	8	2	2	2	2
USA/MA_3672/2020	24	8	2	2	2	2
USA/MA_3699/2020	24	8	2	2	2	2
USA/MA_3878/2020	24	8	2	2	2	2
USA/MA_4811/2020	24	8	2	2	2	2
USA/MA_8932/2020	24	8	2	2	2	2
USA/MA_8933/2020	24	8	2	2	2	2
USA/MA_9703/2020	24	8	2	2	2	2
USA/MA_9704/2020	24	8	2	2	2	2
USA/MA_9889/2020	24	8	2	2	2	2
USA/MD-CDC-0025/2020	24	8	2	2	2	2
USA/MD-DFS-PHL-0019/2020	24	8	2	2	2	2
USA/MD-HP00010/2020	7	6	2	2	2	2
USA/MD-HP00020/2020	47	40	32	8	2	2
USA/MD-HP00023/2020	7	6	2	2	2	2
USA/MD-HP00038/2020	26	19	12	11	2	2
USA/MD-HP00048/2020	36	29	22	8	2	2
USA/MD-HP00057/2020	68	57	49	41	2	2
USA/MD-HP00060/2020	24	8	2	2	2	2
USA/MD-HP00062/2020	36	29	22	8	2	2
USA/MD-HP00065/2020	34	27	20	18	8	1
USA/MD-HP00067/2020	7	6	2	2	2	2
USA/MD-HP00068/2020	7	6	2	2	2	2
USA/MD-HP00075/2020	7	6	2	2	2	2
USA/MD-HP00076/2020	34	27	20	18	8	1
USA/MD-HP00082/2020	7	6	2	2	2	2
USA/MD-HP00113/2020	34	27	20	18	8	1
USA/MD-MDH-0181/2020	24	8	2	2	2	2
USA/MD-MDH-0182/2020	24	8	2	2	2	2
USA/MD-MDH-0183/2020	24	8	2	2	2	2
USA/MD-MDH-0184/2020	24	8	2	2	2	2
USA/MD-QDX-113/2020	7	6	2	2	2	2
USA/MDH-5622/2020	7	6	2	2	2	2
USA/MDH-5653/2020	24	8	2	2	2	2
USA/MDH-5875/2020	24	8	2	2	2	2
USA/MDH-6339/2020	7	6	2	2	2	2
USA/MDH-6572/2020	9	8	2	2	2	2
USA/MDH-6612/2020	7	6	2	2	2	2
USA/MDH-7590/2020	7	6	2	2	2	2
USA/MDH-7760/2020	9	8	2	2	2	2
USA/MDH-7761/2020	34	27	20	18	8	1
USA/MDH-8137/2020	69	58	2	2	2	2
USA/MDH-8144/2020	34	27	20	18	8	1
USA/MDH-8367/2020	7	6	2	2	2	2
USA/MDH-8447/2020	7	6	2	2	2	2
USA/MDH-9092/2020	32	25	18	16	2	2
USA/MD_0026/2020	24	8	2	2	2	2
USA/MD_0027/2020	24	8	2	2	2	2
USA/ME-HETL-J0001/2020	36	29	22	8	2	2
USA/ME-HETL-J0002/2020	7	6	2	2	2	2
USA/ME-HETL-J0003/2020	7	6	2	2	2	2
USA/ME-HETL-J0004/2020	9	8	2	2	2	2
USA/ME-HETL-J0005/2020	9	8	2	2	2	2
USA/ME-HETL-J0006/2020	7	6	2	2	2	2
USA/ME-HETL-J0007/2020	9	8	2	2	2	2
USA/ME-HETL-J0008/2020	36	29	22	8	2	2
USA/ME-HETL-J0009/2020	9	8	2	2	2	2
USA/ME-HETL-J0010/2020	9	8	2	2	2	2
