Strain	0	1	2	3	4	5
Guangzhou/GZMU0052/2020	3	3	3	3	3	2
Guangzhou/GZMU0054/2020	3	3	3	3	3	2
Guangzhou/GZMU0055/2020	3	3	3	3	3	2
Guangzhou/GZMU0056/2020	1	1	1	1	1	1
Guangzhou/GZMU0057/2020	3	3	3	3	3	2
Guangzhou/GZMU0058/2020	3	3	3	3	3	2
Guangzhou/GZMU0059/2020	3	3	3	3	3	2
Guangzhou/GZMU0060/2020	3	3	3	3	3	2
Guangzhou/GZMU0074/2020	1	1	1	1	1	1
Guangzhou/GZMU0075/2020	1	1	1	1	1	1
Guangzhou/GZMU0077/2020	1	1	1	1	1	1
Guangzhou/GZMU0078/2020	1	1	1	1	1	1
Guangzhou/GZMU0079/2020	3	3	3	3	3	2
Guangzhou/GZMU0081/2020	1	1	1	1	1	1
Guangzhou/GZMU0083/2020	1	1	1	1	1	1
Guangzhou/GZMU0092/2020	3	3	3	3	3	2
Guangzhou/GZMU0095/2020	1	1	1	1	1	1
Guangzhou/GZMU0099/2020	1	1	1	1	1	1
Guangzhou/GZMU0101/2020	3	3	3	3	3	2
Guangzhou/GZMU0117/2020	3	3	3	3	3	2
Guangzhou/IQTC01/2020	3	3	3	3	3	2
Guangzhou/IQTC02/2020	3	3	3	3	3	2
Guangzhou/IQTC03/2020	3	3	3	3	3	2
Guangzhou/IQTC04/2020	14	12	3	3	3	2
Guangzhou/IQTC05/2020	3	3	3	3	3	2
Hangzhou/HZ-1/2020	3	3	3	3	3	2
Hangzhou/HZ162/2020	3	3	3	3	3	2
Hangzhou/HZ178/2020	3	3	3	3	3	2
Hangzhou/HZ185/2020	3	3	3	3	3	2
Hangzhou/HZ477/2020	3	3	3	3	3	2
Hangzhou/HZ48/2020	3	3	3	3	3	2
Hangzhou/HZ481/2020	3	3	3	3	3	2
Hangzhou/HZ49/2020	3	3	3	3	3	2
Hangzhou/HZ551/2020	3	3	3	3	3	2
Hangzhou/HZ576/2020	3	3	3	3	3	2
Hangzhou/HZ60/2020	3	3	3	3	3	2
Hangzhou/HZ62/2020	3	3	3	3	3	2
Hangzhou/HZ638/2020	3	3	3	3	3	2
Hangzhou/HZ79/2020	3	3	3	3	3	2
Hangzhou/HZ90/2020	3	3	3	3	3	2
Hangzhou/HZ91/2020	3	3	3	3	3	2
Hangzhou/HZCDC0001/2020	3	3	3	3	3	2
Hangzhou/HZCDC0012/2020	5	3	3	3	3	2
Hangzhou/HZCDC0013/2020	5	3	3	3	3	2
Hangzhou/HZCDC0025/2020	5	3	3	3	3	2
Hangzhou/HZCDC0048/2020	3	3	3	3	3	2
Hangzhou/HZCDC0048L/2020	3	3	3	3	3	2
Hangzhou/HZCDC0049L/2020	3	3	3	3	3	2
Hangzhou/HZCDC0090/2020	3	3	3	3	3	2
Hangzhou/HZCDC0090L/2020	3	3	3	3	3	2
Hangzhou/HZCDC0091/2020	3	3	3	3	3	2
Hangzhou/HZCDC0091L/2020	3	3	3	3	3	2
Hangzhou/HZCDC0119/2020	3	3	3	3	3	2
Hangzhou/HZCDC0135/2020	3	3	3	3	3	2
Hangzhou/HZCDC0162/2020	3	3	3	3	3	2
Hangzhou/HZCDC0167/2020	13	3	3	3	3	2
Hangzhou/HZCDC6111/2020	5	3	3	3	3	2
Hangzhou/HZCDC6224/2020	13	3	3	3	3	2
Hangzhou/HZCDC6228/2020	9	8	2	2	2	2
Hangzhou/HZCDC6445/2020	9	8	2	2	2	2
Hangzhou/HZCDC6706/2020	5	3	3	3	3	2
Hangzhou/HZCDC6789/2020	13	3	3	3	3	2
Hangzhou/ZJU-01/2020	13	3	3	3	3	2
Hangzhou/ZJU-010/2020	3	3	3	3	3	2
Hangzhou/ZJU-011/2020	3	3	3	3	3	2
Hangzhou/ZJU-02/2020	17	14	1	1	1	1
Hangzhou/ZJU-03/2020	3	3	3	3	3	2
Hangzhou/ZJU-04/2020	3	3	3	3	3	2
Hangzhou/ZJU-05/2020	18	15	3	3	3	2
Hangzhou/ZJU-06/2020	3	3	3	3	3	2
Hangzhou/ZJU-07/2020	18	15	3	3	3	2
Hangzhou/ZJU-08/2020	11	10	7	7	6	1
Hangzhou/ZJU-09/2020	3	3	3	3	3	2
Harbin/HRB-25/2020	3	3	3	3	3	2
Harbin/HRB-26/2020	3	3	3	3	3	2
Hefei/2/2020	3	3	3	3	3	2
Henan/HN01/2020	5	3	3	3	3	2
Henan/HN03/2020	1	1	1	1	1	1
Henan/HN04/2020	3	3	3	3	3	2
Henan/IVDC-HeN-002/2020	11	10	7	7	6	1
Henan/fahzu0002/2020	1	1	1	1	1	1
Henan/fahzu0007/2020	5	3	3	3	3	2
Henan/fahzu0008/2020	3	3	3	3	3	2
Henan/fahzu0010/2020	1	1	1	1	1	1
Henan/fahzu0011/2020	5	3	3	3	3	2
Henan/fahzu0012/2020	1	1	1	1	1	1
Henan/fahzu0014/2020	1	1	1	1	1	1
Henan/fahzu0017/2020	3	3	3	3	3	2
Henan/fahzu0018/2020	1	1	1	1	1	1
Henan/fahzu0019/2020	1	1	1	1	1	1
Henan/fahzu0020/2020	5	3	3	3	3	2
Henan/fahzu0021/2020	5	3	3	3	3	2
Henan/fahzu0022/2020	3	3	3	3	3	2
Henan/fahzu0028/2020	1	1	1	1	1	1
Henan/fahzu0032/2020	5	3	3	3	3	2
Henan/fahzu0033/2020	1	1	1	1	1	1
Henan/fahzu0034/2020	3	3	3	3	3	2
Henan/fahzu0035/2020	1	1	1	1	1	1
Henan/fahzu0036/2020	5	3	3	3	3	2
Hunan/HN-CIDC-P10/2020	3	3	3	3	3	2
Hunan/HN-CIDC-P11/2020	3	3	3	3	3	2
Hunan/HN-CIDC-P2/2020	3	3	3	3	3	2
Hunan/HN-CIDC-P5/2020	3	3	3	3	3	2
Hunan/HN-CIDC-P6/2020	3	3	3	3	3	2
