Strain	Source	Country	Province	City	Latitude	Longitude	Day	Month	Year	TP1	TP2
Germany/SN-RKI-I-032238/2021	Cow_Farm	Germany	Saxony	0	51.0523453	13.3484688	18	2	2021	0	1
Switzerland/GE-33266105/2021	Cow_Farm	Switzerland	Geneva	0	46.2038116	6.1399651	13	2	2021	0	1
Spain/VC-IBV-98014364/2020	Cow_Farm	Spain	Comunitat Valenciana	Sagunt	39.3902435	-0.543139	16	10	2020	0	1
Sweden/20-08931/2020	Cow_Farm	Sweden	Ostergotland	0	58.4169998	15.75	11	7	2020	1	1
Switzerland/SO-ETHZ-451314/2021	Cow_Farm	Switzerland	Solothurn	0	47.2069588	7.5333118	9	1	2021	0	1
Germany/SL-SU-30050923/2021	Cow_Farm	Germany	Saarland	0	49.384407	6.953229	12	2	2021	0	1
Switzerland/BL-ETHZ-500435/2021	Cow_Farm	Switzerland	Basel-Land	0	47.501203	7.715625	18	2	2021	0	1
Ireland/KY-NVRL-21IRL35803/2020	Cow_Farm	Ireland	Kerry	0	52.0597839	-9.5069351	27	10	2020	0	1
Scotland/QEUH-12C7F12/2021	Cow_Farm	United Kingdom	Scotland	0	55.9501953	-3.1875629	18	2	2021	0	1
Wales/MILK-B3C176/2020	Cow_Farm	United Kingdom	Wales	0	51.481308	-3.1804979	1	11	2020	0	1
Wales/PHWC-489D40/2020	Cow_Farm	United Kingdom	Wales	0	51.481308	-3.1804979	27	10	2020	0	1
Netherlands/NH-RIVM-20621/2020	Cow_Farm	Netherlands	North Holland	0	52.5769081	4.924386	20	12	2020	0	1
Netherlands/GE-EMC-322/2020	Cow_Farm	Netherlands	Gelderland	0	52.0617256	5.9390802	6	10	2020	1	1
Wales/PHWC-480936/2020	Cow_Farm	United Kingdom	Wales	0	51.481308	-3.1804979	22	10	2020	0	1
Wales/PHWC-496D04/2020	Cow_Farm	United Kingdom	Wales	0	51.481308	-3.1804979	24	11	2020	0	1
Poland/NIPH-NIH_ECDC-205/2021	Cow_Farm	Poland	Podlaskie	Bia?ystok	53.2644501	22.9296741	8	2	2021	0	1
Slovenia/90-008580-NM/2021	Cow_Farm	Slovenia	0	0	51.5001526	-0.126236	1	2	2021	0	1
Netherlands/GE-RIVM-13427/2021	Cow_Farm	Netherlands	Gelderland	0	52.0617256	5.9390802	10	2	2021	0	1
Ireland/KY-NVRL-86IRL26883/2021	Cow_Farm	Ireland	Kerry	0	52.0597839	-9.5069351	9	2	2021	0	1
Norway/7168/2020	Cow_Farm	Norway	Oslo	0	59.9138222	10.7387409	17	12	2020	0	1
Italy/ABR-IZSGC-376239/2020	Cow_Farm	Italy	Abruzzo	0	42.2274933	13.8549938	31	12	2020	0	1
Iceland/6618/2020	Cow_Farm	Iceland	Reykjavik	0	64.1472092	-21.9424	10	10	2020	1	1
Slovenia/21-001273-LJ/2021	Cow_Farm	Slovenia	0	0	51.5001526	-0.126236	1	1	2021	0	1
Wales/ALDP-9BEA73/2020	Cow_Farm	United Kingdom	Wales	0	51.481308	-3.1804979	9	9	2020	1	1
Scotland/QEUH-12B73EC/2021	Cow_Farm	United Kingdom	Scotland	0	55.9501953	-3.1875629	16	2	2021	0	1
Sweden/SE00156509/2021	Cow_Farm	Sweden	Skane	0	55.7999992	13.6169996	15	1	2021	0	1
Ireland/KE-NVRL-85IRL49563/2021	Cow_Farm	Ireland	Kildare	0	53.1598282	-6.908998	9	2	2021	0	1
Switzerland/BL-ETHZ-480121/2021	Cow_Farm	Switzerland	Basel-Land	0	47.501203	7.715625	29	1	2021	0	1
Germany/NW-RKI-I-027544/2021	Cow_Farm	Germany	North Rhine Westphalia	0	51.4796906	7.5623112	15	2	2021	0	1
Italy/VEN-IZSVe-20RS2272-29_PD/2020	Cow_Farm	Italy	Veneto	Padova	45.6531715	11.8458281	14	10	2020	1	1
Germany/NW-RKI-I-029225/2021	Cow_Farm	Germany	North Rhine Westphalia	0	51.4796906	7.5623112	22	2	2021	0	1
Wales/PHWC-48AC60/2020	Cow_Farm	United Kingdom	Wales	0	51.481308	-3.1804979	21	10	2020	0	1
Wales/PHWC-4CD92E/2021	Cow_Farm	United Kingdom	Wales	0	51.481308	-3.1804979	12	2	2021	0	1
Netherlands/GR-RIVM-13260/2021	Cow_Farm	Netherlands	Groningen	0	53.2144699	6.5664811	1	2	2021	0	1
NorthernIreland/RAND-1259D48/2021	Cow_Farm	United Kingdom	Northern Ireland	0	54.6089058	-6.6949229	5	2	2021	0	1
Scotland/QEUH-11CB3D7/2021	Cow_Farm	United Kingdom	Scotland	0	55.9501953	-3.1875629	1	2	2021	0	1
Spain/MD-IBV-99020773/2020	Cow_Farm	Spain	Madrid	Madrid	40.4166908	-3.700346	14	12	2020	0	1
